"sampleID","location","rep_number","plot_number","Corrected_pedigree","Observed","Simpson","Shannon"
"MNH1-1-189","MNH1",1,189,"B37/H95",37,0.961683555555556,3.41391382801902
"MNH1-1-221","MNH1",1,221,"CG119/CG108",61,0.977997333333333,3.93469531131463
"MNH1-1-24","MNH1",1,24,"H95/B14A",42,0.959613333333333,3.44448568863301
"MNH1-1-259","MNH1",1,259,"B37/H95",43,0.963535111111111,3.50654743123759
"MNH1-1-274","MNH1",1,274,"2369/LH123HT",32,0.938095111111111,3.1221006172309
"MNH1-1-286","MNH1",1,286,"B37/OH43",67,0.977616888888889,3.96250042017596
"MNH1-1-345","MNH1",1,345,"PHW52/PHM49",49,0.954611555555556,3.44764964753354
"MNH1-1-347","MNH1",1,347,"B37/H95",40,0.951739555555556,3.26370708428019
"MNH1-1-353","MNH1",1,353,"B37/MO17",51,0.963743111111111,3.5781306680867
"MNH1-1-376","MNH1",1,376,"CGR01/CG44",35,0.949136888888889,3.19952448690149
"MNH1-1-460","MNH1",1,460,"B37/OH43",44,0.955119111111111,3.46317099091947
"MNH1-1-475","MNH1",1,475,"2369/LH123HT",41,0.963784888888889,3.48950355374151
"MNH1-1-476","MNH1",1,476,"B37/H95",49,0.964803555555556,3.57243848794132
"MNH1-1-491","MNH1",1,491,"B37/MO17",47,0.968789333333333,3.66065862699747
"MNH1-1-514","MNH1",1,514,"F42/OH43",52,0.970111111111111,3.703736213758
"MNH1-1-54","MNH1",1,54,"B37/H95",46,0.972085333333333,3.67858536808889
"MNH1-1-542","MNH1",1,542,"H95/B14A",34,0.952407111111111,3.2901271886426
"MNH1-1-552","MNH1",1,552,"B37/H95",59,0.974101333333333,3.83565867457032
"MNH1-1-573","MNH1",1,573,"CG44/CGR01",51,0.971528888888889,3.69929735004103
"MNH1-1-615","MNH1",1,615,"CGR01/CG44",29,0.952893333333333,3.20704856408965
"MNH1-1-632","MNH1",1,632,"F42/OH43",62,0.975493333333333,3.89531724919698
"MNH1-1-635","MNH1",1,635,"B37/OH43",55,0.970580444444444,3.72570280382509
"MNH1-1-642","MNH1",1,642,"CG119/CG108",31,0.953073777777778,3.25109196265103
"MNH1-1-695","MNH1",1,695,"F42/OH43",42,0.947009777777778,3.33058220324351
"MNH1-1-699","MNH1",1,699,"B37/MO17",54,0.970958222222222,3.73357862190407
"MNH1-1-701","MNH1",1,701,"B37/H95",40,0.958504888888889,3.45728085107485
"MNH1-1-74","MNH1",1,74,"CG44/CGR01",29,0.938823111111111,3.04698308659606
"MNH1-1-758","MNH1",1,758,"B37/H95",64,0.977860444444444,3.95678107420832
"MNH1-1-769","MNH1",1,769,"PHW52/PHM49",52,0.968348444444444,3.65269810684575
"MNH1-1-85","MNH1",1,85,"B37/OH43",54,0.970694222222222,3.68728669095337
"MNH1-1-86","MNH1",1,86,"B37/H95",35,0.957862222222222,3.36394715969984
"MNH1-1-94","MNH1",1,94,"F42/OH43",24,0.944768888888889,3.01055962860388
"MNH1-2-1017","MNH1",2,1017,"B37/OH43",46,0.964989333333333,3.53878067440821
"MNH1-2-1039","MNH1",2,1039,"B37/H95",41,0.964010666666667,3.51253713491869
"MNH1-2-1136","MNH1",2,1136,"B37/OH43",88,0.985232,4.31341331401456
"MNH1-2-1139","MNH1",2,1139,"F42/OH43",25,0.938897777777778,2.98173782517619
"MNH1-2-1143","MNH1",2,1143,"B37/MO17",40,0.957239111111111,3.39701826108696
"MNH1-2-1157","MNH1",2,1157,"B37/H95",39,0.958189333333333,3.39423605566375
"MNH1-2-1187","MNH1",2,1187,"B37/OH43",56,0.971614222222222,3.75455850078928
"MNH1-2-1276","MNH1",2,1276,"CG119/CG108",46,0.970177777777778,3.62820059538204
"MNH1-2-1298","MNH1",2,1298,"B37/OH43",46,0.957019555555556,3.42662217842011
"MNH1-2-1305","MNH1",2,1305,"B37/H95",42,0.964564444444444,3.52076166166971
"MNH1-2-1307","MNH1",2,1307,"F42/OH43",44,0.964973333333333,3.53956503656594
"MNH1-2-1319","MNH1",2,1319,"B37/H95",74,0.980650666666667,4.08741935138213
"MNH1-2-1323","MNH1",2,1323,"B37/OH43",41,0.957752,3.3900942004429
"MNH1-2-1343","MNH1",2,1343,"F42/OH43",46,0.961973333333333,3.51003119839243
"MNH1-2-1413","MNH1",2,1413,"B37/H95",40,0.948729777777778,3.25890029301833
"MNH1-2-1427","MNH1",2,1427,"B37/MO17",34,0.955520888888889,3.29658553489777
"MNH1-2-1464","MNH1",2,1464,"F42/OH43",46,0.962635555555556,3.49520705309961
"MNH1-2-1465","MNH1",2,1465,"H95/B14A",44,0.966210666666667,3.56328012799062
"MNH1-2-1479","MNH1",2,1479,"2369/LH123HT",56,0.970245333333333,3.75991581499824
"MNH1-2-1489","MNH1",2,1489,"B37/H95",46,0.956468444444444,3.40246042934992
"MNH1-2-1518","MNH1",2,1518,"CG44/CGR01",57,0.970809777777778,3.77170239697202
"MNH1-2-1521","MNH1",2,1521,"PHW52/PHM49",51,0.962010666666667,3.57237280086313
"MNH1-2-1590","MNH1",2,1590,"B37/OH43",70,0.980278222222222,4.05290369315325
"MNH1-2-847","MNH1",2,847,"B37/H95",67,0.973903111111111,3.88663134175447
