SampleID	location	pedigree	rep_number	plot_number	Batch	Month	day	year
MIH1-1-212	MIH1	B37_H95	1	212	3167	8	13	2019
MIH1-1-217	MIH1	B14A_OH43	1	217	3167	8	13	2019
MIH1-1-230	MIH1	F42_MO17	1	230	3167	8	13	2019
MIH1-1-240	MIH1	B73_MO17	1	240	3167	8	13	2019
MIH1-1-24	MIH1	B73_PHN82	1	24	3167	8	13	2019
MIH1-1-28	MIH1	B14A_H95	1	28	3167	8	13	2019
MIH1-1-6	MIH1	PHW52_PHN82	1	6	3167	8	13	2019
MIH1-1-8	MIH1	F42_OH43	1	8	3167	8	13	2019
MIH1-1-92	MIH1	PHG39_PHN82	1	92	3167	8	13	2019
MIH1-2-270	MIH1	2369_LH123HT	2	270	3167	8	13	2019
MIH1-2-293	MIH1	LH74_PHN82	2	293	3167	8	13	2019
MIH1-2-296	MIH1	F42_MO17	2	296	3167	8	13	2019
MIH1-2-303	MIH1	F42_H95	2	303	3167	8	13	2019
MIH1-2-308	MIH1	B73_PHM49	2	308	3167	8	13	2019
MIH1-2-313	MIH1	B37_MO17	2	313	3167	8	13	2019
MIH1-2-338	MIH1	B14A_MO17	2	338	3167	8	13	2019
MIH1-2-359	MIH1	F42_OH43	2	359	3167	8	13	2019
MIH1-2-367	MIH1	CG44_CGR01	2	367	3167	8	13	2019
MIH1-2-371	MIH1	B73_MO17	2	371	3167	8	13	2019
MIH1-2-429	MIH1	CG119_CG108	2	429	3167	8	13	2019
MIH1-2-432	MIH1	B37_H95	2	432	3167	8	13	2019
MIH1-2-440	MIH1	B73_PHN82	2	440	3167	8	13	2019
MIH1-2-444	MIH1	PHW52_PHM49	2	444	3167	8	13	2019
MIH1-2-454	MIH1	B37_OH43	2	454	3167	8	13	2019
MIH1-2-469	MIH1	B14A_OH43	2	469	3167	8	13	2019
MIH1-2-471	MIH1	B14A_H95	2	471	3167	8	13	2019
MIH1-2-474	MIH1	PHW52_PHN82	2	474	3167	8	13	2019
MNH1-1-140	MNH1	B37_OH43	1	140	3166	8	2	2019
MNH1-1-175	MNH1	F42_H95	1	175	3166	8	2	2019
MNH1-1-185	MNH1	B14A_MO17	1	185	3166	8	2	2019
MNH1-1-189	MNH1	B73_PHN82	1	189	3166	8	2	2019
MNH1-1-221	MNH1	CG119_CG108	1	221	3166	8	2	2019
MNH1-1-24	MNH1	PHG39_PHN82	1	24	3166	8	2	2019
MNH1-1-259	MNH1	B73_MO17	1	259	3166	8	2	2019
MNH1-1-274	MNH1	2369_LH123HT	1	274	3167	8	2	2019
MNH1-1-286	MNH1	B14A_OH43	1	286	3166	8	2	2019
MNH1-1-345	MNH1	PHW52_PHM49	1	345	3166	8	2	2019
MNH1-1-347	MNH1	B73_PHM49	1	347	3166	8	2	2019
MNH1-1-353	MNH1	B37_MO17	1	353	3166	8	2	2019
MNH1-1-376	MNH1	PHW52_PHN82	1	376	3166	8	2	2019
MNH1-1-460	MNH1	LH74_PHN82	1	460	3166	8	2	2019
MNH1-1-475	MNH1	2369_LH123HT	1	475	3166	8	2	2019
MNH1-1-476	MNH1	B73_PHN82	1	476	3166	8	2	2019
MNH1-1-491	MNH1	B14A_MO17	1	491	3166	8	2	2019
MNH1-1-514	MNH1	F42_MO17	1	514	3166	8	2	2019
MNH1-1-542	MNH1	PHG39_PHN82	1	542	3166	8	2	2019
MNH1-1-54	MNH1	B14A_H95	1	54	3166	8	2	2019
MNH1-1-552	MNH1	B14A_H95	1	552	3166	8	2	2019
MNH1-1-573	MNH1	CG44_CGR01	1	573	3167	8	2	2019
MNH1-1-615	MNH1	PHW52_PHN82	1	615	3166	8	2	2019
